项目ID,统一标题,英文抬头或项目名,中文名称,中文名称说明
NPI027,PT Indonesia Tsingshan Stainless Steel (ITSS) 印尼青山不锈钢,PT Indonesia Tsingshan Stainless Steel (ITSS),印尼青山不锈钢,已有中文名称或项目说明
NPI028,PT Sulawesi Mining Investment (SMI) 苏拉威西矿业投资,PT Sulawesi Mining Investment (SMI),苏拉威西矿业投资,已有中文名称或项目说明
NPI029,PT Tsingshan Steel Indonesia (TSI) 青山钢铁印尼,PT Tsingshan Steel Indonesia (TSI),青山钢铁印尼,已有中文名称或项目说明
NPI030,PT Zhao Hui Nickel (ZHN) 兆辉镍业,PT Zhao Hui Nickel (ZHN),兆辉镍业,已有中文名称或项目说明
NPI031,PT Oracle Nickel Industry (ONI) 奥拉克镍业,PT Oracle Nickel Industry (ONI),奥拉克镍业,已有中文名称或项目说明
NPI032,PT Ocean Sky Metal Industry 海天金属工业,PT Ocean Sky Metal Industry,海天金属工业,中文阅读译名
NPI033,PT Indonesia Ruipu Nickel and Chrome Alloy (IRNC) 印尼瑞浦镍铬合金,PT Indonesia Ruipu Nickel and Chrome Alloy (IRNC),印尼瑞浦镍铬合金,已有中文名称或项目说明
NPI034,PT Walsin Nickel Industrial Indonesia (WNII) 印尼华新镍业,PT Walsin Nickel Industrial Indonesia (WNII),印尼华新镍业,已有中文名称或项目说明
NPI035,PT Bukit Smelter Indonesia (BSI) 布吉特冶炼,PT Bukit Smelter Indonesia (BSI),布吉特冶炼,中文阅读译名
NPI036,PT Cahaya Smelter Indonesia (CSI) 卡哈亚冶炼,PT Cahaya Smelter Indonesia (CSI),卡哈亚冶炼,中文阅读译名
NPI037,PT Lestari Smelter Indonesia (LSI) 莱斯塔里冶炼,PT Lestari Smelter Indonesia (LSI),莱斯塔里冶炼,中文阅读译名
NPI038,PT Hengjaya Nickel Industry (HNI) 恒嘉镍业,PT Hengjaya Nickel Industry (HNI),恒嘉镍业,已有中文名称或项目说明
NPI039,PT Ranger Nickel Industry (RNI) 兰吉尔镍业,PT Ranger Nickel Industry (RNI),兰吉尔镍业,已有中文名称或项目说明
NPI041,PT Obsidian Stainless Steel (OSS) 德龙二期,PT Obsidian Stainless Steel (OSS),德龙二期,已有中文名称或项目说明
NPI042,PT Virtue Dragon Nickel Industry (VDNI) 德龙一期,PT Virtue Dragon Nickel Industry (VDNI),德龙一期,已有中文名称或项目说明
NPI043,PT Gunbuster Nickel Industry (GNI) 德龙三期,PT Gunbuster Nickel Industry (GNI),德龙三期,已有中文名称或项目说明
NPI044,PT Nadesico Nickel Industry (NNI) 德龙四期,PT Nadesico Nickel Industry (NNI),德龙四期,已有中文名称或项目说明
NPI046,PT Karunia Permai Sentosa (KPS) 力勤哈利达KPS镍铁项目,PT Karunia Permai Sentosa (KPS),力勤哈利达KPS镍铁项目,已有中文名称或项目说明
NPI047,PT Halmahera Jaya Feronikel (HJF) 力勤哈利达HJF镍铁项目,PT Halmahera Jaya Feronikel (HJF),力勤哈利达HJF镍铁项目,已有中文名称或项目说明
NPI048,PT Megah Surya Pertiwi (MSP) 新兴铸管MSP镍铁项目,PT Megah Surya Pertiwi (MSP),新兴铸管MSP镍铁项目,已有中文名称或项目说明
NPI049,PT Wanatiara Persada (WP) 金川WP镍铁项目,PT Wanatiara Persada (WP),金川WP镍铁项目,已有中文名称或项目说明
NPI051,PT Shuoshi Indonesia Investment 华宝硕石镍铁,PT Shuoshi Indonesia Investment,华宝硕石镍铁,已有中文名称或项目说明
NPI053,PT Bahodopi Nickel Smelting Indonesia (BNSI) 巴哈多比镍冶炼,PT Bahodopi Nickel Smelting Indonesia (BNSI),巴哈多比镍冶炼,已有中文名称或项目说明
NPI054,PT Wanxiang Nickel Indonesia 万向镍业,PT Wanxiang Nickel Indonesia,万向镍业,已有中文名称或项目说明
NPI055,PT Huadi Nickel-Alloy Indonesia 华迪镍合金,PT Huadi Nickel-Alloy Indonesia,华迪镍合金,已有中文名称或项目说明
NPI056,PT COR Industri Indonesia (CORII) 印尼COR冶炼,PT COR Industri Indonesia (CORII),印尼COR冶炼,已有中文名称或项目说明
NPI057,PT Metal Smeltindo Selaras (MSS) 青岛中程MSS镍铁项目,PT Metal Smeltindo Selaras (MSS),青岛中程MSS镍铁项目,已有中文名称或项目说明
NPI058,PT Aneka Tambang Tbk — Pomalaa 安塔姆波马拉镍铁厂,PT Aneka Tambang Tbk — Pomalaa,安塔姆波马拉镍铁厂,已有中文名称或项目说明
NPI059,PT Artha Mining Industry 阿尔塔矿业,PT Artha Mining Industry,阿尔塔矿业,中文阅读译名
NPI060,PT Ceria Nugraha Indotama (CNI) 塞里亚镍铁项目,PT Ceria Nugraha Indotama (CNI),塞里亚镍铁项目,已有中文名称或项目说明
NPI061,PT Artabumi Sentra Industri (ASI) 阿尔塔布米工业,PT Artabumi Sentra Industri (ASI),阿尔塔布米工业,中文阅读译名
NPI062,PT Bumi Mineral Sulawesi (BMS) 苏拉威西布米矿业,PT Bumi Mineral Sulawesi (BMS),苏拉威西布米矿业,已有中文名称或项目说明
NPI063,PT Anugrah Tambang Sejahtera (ATS) 安努格拉矿业,PT Anugrah Tambang Sejahtera (ATS),安努格拉矿业,中文阅读译名
NPI064,PT Asia Mining Minerals 亚洲矿业矿产,PT Asia Mining Minerals,亚洲矿业矿产,中文阅读译名
NPI065,PT Unity Nickel Alloy Indonesia 印尼联合镍合金,PT Unity Nickel Alloy Indonesia,印尼联合镍合金,中文阅读译名
NPI067,PT Kalimantan Ferro Industry (KFI) 加里曼丹铁业,PT Kalimantan Ferro Industry (KFI),加里曼丹铁业,已有中文名称或项目说明
NPI068,PT Sebuku Ferroalloy Perkasa 塞布库铁合金,PT Sebuku Ferroalloy Perkasa,塞布库铁合金,已有中文名称或项目说明
NPI069,PT Mitra Murni Perkasa (MMP) 米特拉穆尔尼冶炼,PT Mitra Murni Perkasa (MMP),米特拉穆尔尼冶炼,中文阅读译名
NPI071,PT Growth Java Industry (GJI) 爪哇成长工业,PT Growth Java Industry (GJI),爪哇成长工业,中文阅读译名
NPI072,PT Aneka Tambang Tbk — East Halmahera 安塔姆东哈马黑拉镍铁厂,PT Aneka Tambang Tbk — East Halmahera,安塔姆东哈马黑拉镍铁厂,已有中文名称或项目说明
NPI073,PT Cahaya Modern Metal Industri (CMMI) 现代金属工业,PT Cahaya Modern Metal Industri (CMMI),现代金属工业,已有中文名称或项目说明
NPI074,PT Bintang Timur Steel 东方之星钢铁,PT Bintang Timur Steel,东方之星钢铁,中文阅读译名
NPI075,PT Century Metalindo 世纪冶金,PT Century Metalindo,世纪冶金,已有中文名称或项目说明
P01,PT Huaneng Metal Industry (HNMI) 华能金属工业,PT Huaneng Metal Industry (HNMI),华能金属工业,已有中文名称或项目说明
P02,PT Zhongtsing New Energy 中青新能源,PT Zhongtsing New Energy,中青新能源,已有中文名称或项目说明
P05,PT Walhsu Metal Industry 华旭金属工业,PT Walhsu Metal Industry,华旭金属工业,已有中文名称或项目说明
P09,PT JIAMAN NEW ENERGY 嘉曼新能源,PT JIAMAN NEW ENERGY,嘉曼新能源,已有中文名称或项目说明
P11,PT Universe Smelter Metal Industry 寰宇冶炼,PT Universe Smelter Metal Industry,寰宇冶炼,已有中文名称或项目说明
P12,PT Vale Indonesia Tbk 淡水河谷索罗瓦科高冰镍项目,PT Vale Indonesia Tbk,淡水河谷索罗瓦科高冰镍项目,已有中文名称或项目说明
P25,PT Hanrui Nickel Indonesia 寒锐镍业,PT Hanrui Nickel Indonesia,寒锐镍业,已有中文名称或项目说明
P26,PT Huaxing Nickel Indonesia 华星镍业,PT Huaxing Nickel Indonesia,华星镍业,已有中文名称或项目说明
P27,PT Huashuo Nickel Indonesia 华硕镍业,PT Huashuo Nickel Indonesia,华硕镍业,已有中文名称或项目说明
P28,PT Jiamanda New Energy 嘉曼达新能源,PT Jiamanda New Energy,嘉曼达新能源,已有中文名称或项目说明
P29,PT JIAMANMEI NEW ENERGY 嘉曼美新能源,PT JIAMANMEI NEW ENERGY,嘉曼美新能源,已有中文名称或项目说明
P30,PT Yongyu International Energy Indonesia 永誉国际候选项目,PT Yongyu International Energy Indonesia,永誉国际候选项目,已有中文名称或项目说明
P31,PT Dowstone Energy Material Indonesia 道氏能源材料,PT Dowstone Energy Material Indonesia,道氏能源材料,已有中文名称或项目说明
P32,PT CNGR Xing qiu New Energy 中伟兴球新能源,PT CNGR Xing qiu New Energy,中伟兴球新能源,已有中文名称或项目说明
P33,PT CNGR Xing quan New Energy 中伟兴全新能源,PT CNGR Xing quan New Energy,中伟兴全新能源,已有中文名称或项目说明
P34,PT CNGR Xing xin New Energy 中伟兴新新能源,PT CNGR Xing xin New Energy,中伟兴新新能源,已有中文名称或项目说明
P38,PT CHENGMACH NICKEL INDONESIA 盛迈镍业,PT CHENGMACH NICKEL INDONESIA,盛迈镍业,已有中文名称或项目说明
P40,PT Ceria Nugraha Indotama — Matte Project 塞里亚冰镍规划,PT Ceria Nugraha Indotama — Matte Project,塞里亚冰镍规划,已有中文名称或项目说明
P41,ANTAM–CNGR Nickel Matte Project 安塔姆与中伟冰镍合资规划,ANTAM–CNGR Nickel Matte Project,安塔姆与中伟冰镍合资规划,已有中文名称或项目说明
P48,PT Hengsheng New Energy Material Indonesia 恒生新能源材料,PT Hengsheng New Energy Material Indonesia,恒生新能源材料,已有中文名称或项目说明
P49,PT Alam Cipta Lestari 阿拉姆齐普塔莱斯塔里,PT Alam Cipta Lestari,阿拉姆齐普塔莱斯塔里,中文阅读译名
MHP000,PT Hydrotech Metal Indonesia 海卓科技印尼出口主体,PT Hydrotech Metal Indonesia,海卓科技印尼出口主体,已有中文名称或项目说明
MHP003,PT Halmahera Persada Lygend (HPL) 奥比岛力勤HPL湿法项目,PT Halmahera Persada Lygend (HPL),奥比岛力勤HPL湿法项目,已有中文名称或项目说明
MHP005,PT Obi Nickel Cobalt (ONC) 奥比镍钴湿法三期,PT Obi Nickel Cobalt (ONC),奥比镍钴湿法三期,已有中文名称或项目说明
MHP006,PT Huayue Nickel Cobalt (HNC) 华越镍钴,PT Huayue Nickel Cobalt (HNC),华越镍钴,已有中文名称或项目说明
MHP007,PT Sulawesi Nickel Cobalt (SLNC) 苏拉威西镍钴,PT Sulawesi Nickel Cobalt (SLNC),苏拉威西镍钴,已有中文名称或项目说明
MHP008,PT Huafei Nickel Cobalt 华飞镍钴,PT Huafei Nickel Cobalt,华飞镍钴,已有中文名称或项目说明
MHP009,PT Gebe Industry Nickel 格贝镍业,PT Gebe Industry Nickel,格贝镍业,已有中文名称或项目说明
MHP010,PT Gostal Nickel Indonesia 戈斯塔尔镍业,PT Gostal Nickel Indonesia,戈斯塔尔镍业,中文阅读译名
MHP011,PT QMB New Energy Materials 青美邦新能源材料,PT QMB New Energy Materials,青美邦新能源材料,已有中文名称或项目说明
MHP013,PT ESG New Energy Material ESG新能源材料,PT ESG New Energy Material,ESG新能源材料,已有中文名称或项目说明
MHP014,PT Meiming New Energy Material (MNEM) 美明新能源材料,PT Meiming New Energy Material (MNEM),美明新能源材料,已有中文名称或项目说明
MHP015,PT Green Eco Nickel (GEN) 格林爱科镍业,PT Green Eco Nickel (GEN),格林爱科镍业,已有中文名称或项目说明
MHP016,PT Blue Sparking Energy (BSE) 蓝焰能源,PT Blue Sparking Energy (BSE),蓝焰能源,已有中文名称或项目说明
MHP017,PT Excelsior Nickel Cobalt (ENC) 晨曦镍钴,PT Excelsior Nickel Cobalt (ENC),晨曦镍钴,已有中文名称或项目说明
MHP018,PT Kolaka Nickel Indonesia (KNI) 科拉卡镍业波马拉湿法项目,PT Kolaka Nickel Indonesia (KNI),科拉卡镍业波马拉湿法项目,已有中文名称或项目说明
MHP020,Guangqing HPAL Project 广青湿法项目,Guangqing HPAL Project,广青湿法项目,已有中文名称或项目说明
MHP021,PT Ceria Kobalt Indotama (CKI) 塞里亚科巴尔特镍钴项目,PT Ceria Kobalt Indotama (CKI),塞里亚科巴尔特镍钴项目,中文阅读译名
MHP022,Sorowako Limonite HPAL Project 索罗瓦科褐铁矿湿法项目,Sorowako Limonite HPAL Project,索罗瓦科褐铁矿湿法项目,已有中文名称或项目说明
MHP023,PT Teluk Metal Industry (TMI) 海湾金属TMI湿法项目,PT Teluk Metal Industry (TMI),海湾金属TMI湿法项目,已有中文名称或项目说明
MHP024,PT Nickel Cobalt Halmahera (NCH) 布里镍钴,PT Nickel Cobalt Halmahera (NCH),布里镍钴,已有中文名称或项目说明
MHP025,PT EVerde Global Mineral 伊沃德湿法项目,PT EVerde Global Mineral,伊沃德湿法项目,中文阅读译名
MHP026,PT Anugrah Neo Energy Materials 尼奥能源湿法项目,PT Anugrah Neo Energy Materials,尼奥能源湿法项目,已有中文名称或项目说明
MHP027,CNGR HPAL Project 中伟湿法项目,CNGR HPAL Project,中伟湿法项目,已有中文名称或项目说明
MHP028,PT Chengsheng New Energy (CNE) 诚盛新能源,PT Chengsheng New Energy (CNE),诚盛新能源,已有中文名称或项目说明
MHP029,Haiwan Metal Project 海湾金属待识别项目,Haiwan Metal Project,海湾金属待识别项目,已有中文名称或项目说明
MHP031,PT Huashan Nickel Cobalt 华山镍钴,PT Huashan Nickel Cobalt,华山镍钴,已有中文名称或项目说明
MHP032,PT Excellen Silo Leaching 埃克塞伦西洛浸出项目,PT Excellen Silo Leaching,埃克塞伦西洛浸出项目,中文阅读译名
MHP033,PT Ceria Kobalt Prima 塞里亚科巴尔特普里玛项目,PT Ceria Kobalt Prima,塞里亚科巴尔特普里玛项目,中文阅读译名
MHP034,Meta Nikel Kobalt Madencilik Sanayi ve Ticaret A.Ş. 梅塔格尔德斯镍钴项目,Meta Nikel Kobalt Madencilik Sanayi ve Ticaret A.Ş.,梅塔格尔德斯镍钴项目,中文阅读译名
MHP035,Prony Resources New Caledonia SAS 普罗尼戈罗镍钴项目,Prony Resources New Caledonia SAS,普罗尼戈罗镍钴项目,已有中文名称或项目说明
MHP036,Ravensthorpe Nickel Operations (RNO) 雷文斯索普镍业,Ravensthorpe Nickel Operations (RNO),雷文斯索普镍业,中文阅读译名
MHP037,Ramu NiCo Management (MCC) Limited 瑞木镍钴,Ramu NiCo Management (MCC) Limited,瑞木镍钴,已有中文名称或项目说明
MHP039,Hellenic Minerals Ltd — Skouriotissa 希腊矿业斯库里奥蒂萨项目,Hellenic Minerals Ltd — Skouriotissa,希腊矿业斯库里奥蒂萨项目,中文阅读译名
MHP040,Norilsk Nickel Cawse Pty Ltd 考斯历史项目,Norilsk Nickel Cawse Pty Ltd,考斯历史项目,中文阅读译名
MHP041,Norilsk Nickel Avalon Pty Ltd — Bulong 布隆阿瓦隆历史项目,Norilsk Nickel Avalon Pty Ltd — Bulong,布隆阿瓦隆历史项目,中文阅读译名
MHP042,LS MnM Inc. — EVBM Onsan / Saemangeum LS电池材料温山与新万金项目,LS MnM Inc. — EVBM Onsan / Saemangeum,LS电池材料温山与新万金项目,已有中文名称或项目说明
MHP043,Piauí Níquel Metais S.A. 皮奥伊镍项目,Piauí Níquel Metais S.A.,皮奥伊镍项目,中文阅读译名
MHP044,Moa Joint Venture / Fort Saskatchewan Refinery 莫阿与萨斯喀彻温堡加工链,Moa Joint Venture / Fort Saskatchewan Refinery,莫阿与萨斯喀彻温堡加工链,已有中文名称或项目说明
MHP045,Coral Bay Nickel Corporation (CBNC) 珊瑚湾镍业,Coral Bay Nickel Corporation (CBNC),珊瑚湾镍业,已有中文名称或项目说明
MHP046,Terrafame Ltd 特拉法姆索特卡莫项目,Terrafame Ltd,特拉法姆索特卡莫项目,中文阅读译名
MHP047,Taganito HPAL Nickel Corporation (THPAL) 塔加尼托高压酸浸项目,Taganito HPAL Nickel Corporation (THPAL),塔加尼托高压酸浸项目,中文阅读译名
MHP048,Ambatovy Minerals S.A. / Dynatec Madagascar S.A. 安巴托维镍钴项目,Ambatovy Minerals S.A. / Dynatec Madagascar S.A.,安巴托维镍钴项目,已有中文名称或项目说明
MHP049,Murrin Murrin Operations / Minara Resources 穆林穆林镍钴项目,Murrin Murrin Operations / Minara Resources,穆林穆林镍钴项目,已有中文名称或项目说明
RF003,PT Huaxiang Refining Indonesia 华翔精炼,PT Huaxiang Refining Indonesia,华翔精炼,已有中文名称或项目说明
RF001,PT CNGR Ding Xing New Energy 中伟鼎兴新能源,PT CNGR Ding Xing New Energy,中伟鼎兴新能源,已有中文名称或项目说明
RF002,PT Eternal Nickel Industry 永恒镍业,PT Eternal Nickel Industry,永恒镍业,已有中文名称或项目说明
RF004,PT Indonesia Qingmei Energy Materials (IQEM) 印尼青美能源材料,PT Indonesia Qingmei Energy Materials (IQEM),印尼青美能源材料,已有中文名称或项目说明
RF005,PT Indonesia Service Provider 印尼服务供应商出口抬头,PT Indonesia Service Provider,印尼服务供应商出口抬头,中文阅读译名
GL001,Euronickel Industries (formerly FENI Industries) Kavadarci Ferronickel Plant 欧洲镍业(Euronickel Industries，原FENI Industries)卡瓦达尔齐镍铁厂,Euronickel Industries (formerly FENI Industries) Kavadarci Ferronickel Plant,欧洲镍业(Euronickel Industries，原FENI Industries)卡瓦达尔齐镍铁厂,用户全球普查底表
GL003,Çaldağ Nickel Laterite Atmospheric Heap Leach Project 恰尔达(Çaldağ)红土镍常压堆浸项目,Çaldağ Nickel Laterite Atmospheric Heap Leach Project,恰尔达(Çaldağ)红土镍常压堆浸项目,用户全球普查底表
GL004,LARCO (GMM S.A.) Larymna Ferronickel Smelter 拉尔科(LARCO)拉里姆纳镍铁冶炼厂,LARCO (GMM S.A.) Larymna Ferronickel Smelter,拉尔科(LARCO)拉里姆纳镍铁冶炼厂,用户全球普查底表
GL005,Nickelhütte Aue GmbH 奥厄镍冶炼厂(Nickelhütte Aue),Nickelhütte Aue GmbH,奥厄镍冶炼厂(Nickelhütte Aue),用户全球普查底表
GL006,Ringerike Nikkelverk (Ringerike Nickel Works) 灵厄里克镍冶炼厂(Ringerike Nikkelverk),Ringerike Nikkelverk (Ringerike Nickel Works),灵厄里克镍冶炼厂(Ringerike Nikkelverk),用户全球普查底表
GL007,Evje Nikkelverk (Flåt Nickel Smelter) 埃夫耶镍冶炼厂（弗洛特矿配套冶炼厂）,Evje Nikkelverk (Flåt Nickel Smelter),埃夫耶镍冶炼厂（弗洛特矿配套冶炼厂）,用户全球普查底表
GL008,Senjen Nickel Works (Senjens Nikkelverk) 塞尼亚(Senjen)镍矿冶炼厂,Senjen Nickel Works (Senjens Nikkelverk),塞尼亚(Senjen)镍矿冶炼厂,用户全球普查底表
GL009,Glencore Nikkelverk (Kristiansand Nickel Refinery) 嘉能可克里斯蒂安桑镍精炼厂(Nikkelverk),Glencore Nikkelverk (Kristiansand Nickel Refinery),嘉能可克里斯蒂安桑镍精炼厂(Nikkelverk),用户全球普查底表
GL010,Niklová huta Sereď (Sereď Nickel-Cobalt Electrolytic Plant) 谢雷季(Sereď)镍钴电解厂,Niklová huta Sereď (Sereď Nickel-Cobalt Electrolytic Plant),谢雷季(Sereď)镍钴电解厂,用户全球普查底表
GL011,"Umicore Olen Site (Cobalt & Specialty Materials, incl. nickel sulphate line) 优美科(Umicore)奥伦(Olen)基地（钴与特种材料，含镍盐产线）","Umicore Olen Site (Cobalt & Specialty Materials, incl. nickel sulphate line)",优美科(Umicore)奥伦(Olen)基地（钴与特种材料，含镍盐产线）,用户全球普查底表
GL012,Septèmes-les-Vallons Nickel Foundry (Marbeau & Garnier) 塞普泰姆莱瓦隆镍冶炼厂(马尔博与加尼耶创办),Septèmes-les-Vallons Nickel Foundry (Marbeau & Garnier),塞普泰姆莱瓦隆镍冶炼厂(马尔博与加尼耶创办),用户全球普查底表
GL013,Sandouville Nickel Refinery (Le Havre) 桑杜维尔(Sandouville)镍精炼厂（勒阿弗尔附近）,Sandouville Nickel Refinery (Le Havre),桑杜维尔(Sandouville)镍精炼厂（勒阿弗尔附近）,用户全球普查底表
GL014,"Szklary Nickel Mine & Smelter (German era: ""Nickelwerke Frankenstein""; Polish era: Zakłady Górniczo-Hutnicze Szklary) 什克拉雷(Szklary)镍矿与冶炼厂【德国时期称""法兰肯施泰因镍厂""，波兰时期称什克拉雷矿冶联合企业】","Szklary Nickel Mine & Smelter (German era: ""Nickelwerke Frankenstein""; Polish era: Zakłady Górniczo-Hutnicze Szklary)","什克拉雷(Szklary)镍矿与冶炼厂【德国时期称""法兰肯施泰因镍厂""，波兰时期称什克拉雷矿冶联合企业】",用户全球普查底表
GL015,NewCo Ferronikeli Complex 纽科费罗尼克利(NewCo Ferronikeli)镍铁联合企业,NewCo Ferronikeli Complex,纽科费罗尼克利(NewCo Ferronikeli)镍铁联合企业,用户全球普查底表
GL016,Boliden Harjavalta Smelter (nickel line) 波利登哈尔亚瓦尔塔冶炼厂（镍线）,Boliden Harjavalta Smelter (nickel line),波利登哈尔亚瓦尔塔冶炼厂（镍线）,用户全球普查底表
GL017,Nornickel Harjavalta (Norilsk Nickel Harjavalta Oy) Nickel Refinery 诺里尔斯克镍业哈尔亚瓦尔塔精炼厂,Nornickel Harjavalta (Norilsk Nickel Harjavalta Oy) Nickel Refinery,诺里尔斯克镍业哈尔亚瓦尔塔精炼厂,用户全球普查底表
GL018,Kokkola (Umicore Finland) — planned 50kt nickel refinery (paused); existing cobalt/pCAM plant 科科拉(Umicore)镍精炼规划线(暂停)；现有钴精炼/pCAM厂,Kokkola (Umicore Finland) — planned 50kt nickel refinery (paused); existing cobalt/pCAM plant,科科拉(Umicore)镍精炼规划线(暂停)；现有钴精炼/pCAM厂,用户全球普查底表
GL020,Hafod Isha Nickel and Cobalt Works (H.H. Vivian & Co. Ltd.) 哈福德伊沙(Hafod Isha)镍钴厂(维维安父子公司),Hafod Isha Nickel and Cobalt Works (H.H. Vivian & Co. Ltd.),哈福德伊沙(Hafod Isha)镍钴厂(维维安父子公司),用户全球普查底表
GL021,Vale Clydach Refinery 淡水河谷克莱达赫(Clydach)镍精炼厂,Vale Clydach Refinery,淡水河谷克莱达赫(Clydach)镍精炼厂,用户全球普查底表
GL022,INCO / Vale Acton Refinery (London) 国际镍公司(INCO)/淡水河谷阿克顿(Acton)精炼厂（伦敦）,INCO / Vale Acton Refinery (London),国际镍公司(INCO)/淡水河谷阿克顿(Acton)精炼厂（伦敦）,用户全球普查底表
GL023,"Elbasan Metallurgical Combine – Nickel-Cobalt Plant (""Steel of the Party"" / Kombinati Metalurgjik ""Çeliku i Partisë"") 埃尔巴桑冶金联合企业镍钴厂(""党的钢铁""联合企业)","Elbasan Metallurgical Combine – Nickel-Cobalt Plant (""Steel of the Party"" / Kombinati Metalurgjik ""Çeliku i Partisë"")","埃尔巴桑冶金联合企业镍钴厂(""党的钢铁""联合企业)",用户全球普查底表
GL024,Pobuzhsky Ferronickel Plant (PFK) 波布日镍铁厂（PFK）,Pobuzhsky Ferronickel Plant (PFK),波布日镍铁厂（PFK）,用户全球普查底表
GL025,Ufaleynickel (OAO/JSC Ufaleynickel) 乌法列镍厂,Ufaleynickel (OAO/JSC Ufaleynickel),乌法列镍厂,用户全球普查底表
GL026,Rezhnickel (ZAO/OAO Rezhnickel) 雷日镍厂,Rezhnickel (ZAO/OAO Rezhnickel),雷日镍厂,用户全球普查底表
GL027,"South Urals Nickel Combine (Kombinat Yuzhuralnickel), Orsk 南乌拉尔镍联合企业（奥尔斯克）","South Urals Nickel Combine (Kombinat Yuzhuralnickel), Orsk",南乌拉尔镍联合企业（奥尔斯克）,用户全球普查底表
GL028,"Severonickel (Kola MMC Refining Plant), Monchegorsk 北方镍厂（科拉矿冶公司精炼厂，蒙切戈尔斯克）","Severonickel (Kola MMC Refining Plant), Monchegorsk",北方镍厂（科拉矿冶公司精炼厂，蒙切戈尔斯克）,用户全球普查底表
GL029,Nickel Plant (Norilsk) [Никелевый завод] 诺里尔斯克镍厂（老镍厂）,Nickel Plant (Norilsk) [Никелевый завод],诺里尔斯克镍厂（老镍厂）,用户全球普查底表
GL030,"Pechenganickel Combine Smelter, Nikel 佩琴加镍厂（尼克尔镇冶炼厂）","Pechenganickel Combine Smelter, Nikel",佩琴加镍厂（尼克尔镇冶炼厂）,用户全球普查底表
GL031,Nadezhda Metallurgical Plant (NMP) 纳杰日达冶金厂（纳杰日金斯基冶金厂）,Nadezhda Metallurgical Plant (NMP),纳杰日达冶金厂（纳杰日金斯基冶金厂）,用户全球普查底表
GL032,Buruktal (Svetly) Ferronickel Plant — ООО «БНЗ» (Buruktalsky Nickel Plant) 布鲁克塔尔(斯韦特雷)镍铁厂,Buruktal (Svetly) Ferronickel Plant — ООО «БНЗ» (Buruktalsky Nickel Plant),布鲁克塔尔(斯韦特雷)镍铁厂,用户全球普查底表
